City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
156,Muros,ES,42.78,-9.06,68.0,68,0,13.0,clear sky,0.0,0
157,Severo-Kurilsk,RU,50.68,156.12,49.8,92,100,3.85,light rain,0.28,0
158,Lorengau,PG,-2.02,147.27,82.35,79,84,12.1,light rain,0.11,0
159,Kupang,ID,-10.17,123.58,74.03,85,4,9.69,clear sky,0.0,0
160,Iskateley,RU,67.68,53.15,58.19,80,55,9.64,broken clouds,0.0,0
161,Klyuchi,RU,52.27,79.17,60.55,73,1,6.96,clear sky,0.0,0
162,Ilulissat,GL,69.22,-51.1,42.8,87,75,12.75,light rain,0.0,0
163,Pisco,PE,-13.7,-76.22,68.0,60,3,18.34,clear sky,0.0,0
164,Veinticinco De Mayo,AR,-35.43,-60.17,57.99,55,48,5.01,scattered clouds,0.0,0
165,Fairbanks,US,64.84,-147.72,62.6,39,20,9.17,few clouds,0.0,0
166,Chaykovskiy,RU,56.77,54.11,66.99,92,98,1.99,light rain,0.13,0
167,Teya,RU,60.38,92.63,51.06,92,100,2.39,moderate rain,1.67,0
168,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,64,75,4.7,broken clouds,0.0,0
169,Thompson,CA,55.74,-97.86,64.4,63,75,3.36,broken clouds,0.0,0
170,Mount Isa,AU,-20.73,139.5,64.4,52,29,9.17,scattered clouds,0.0,0
171,Lagoa,PT,39.05,-27.98,69.08,73,0,7.29,clear sky,0.0,0
172,Vicuna,CL,-30.03,-70.71,59.0,72,0,16.11,clear sky,0.0,0
173,Luderitz,NA,-26.65,15.16,55.4,93,0,13.87,clear sky,0.0,0
174,Codrington,AU,-38.27,141.97,45.45,89,100,1.72,overcast clouds,0.0,0
175,Camacha,PT,33.08,-16.33,69.8,88,75,16.11,broken clouds,0.0,0
176,Iqaluit,CA,63.75,-68.51,46.4,81,75,6.93,broken clouds,0.0,0
177,Buenos Aires,AR,-34.61,-58.38,55.99,71,96,10.29,overcast clouds,0.0,0
178,Brae,GB,60.4,-1.35,51.8,87,56,8.05,broken clouds,0.0,0
179,Kodiak,US,57.79,-152.41,60.8,63,1,5.82,clear sky,0.0,0
180,Labuan,MY,5.28,115.24,77.0,94,20,3.36,few clouds,0.0,0
181,Saint-Philippe,RE,-21.36,55.77,69.8,64,65,19.46,light rain,0.12,0
182,Anito,PH,12.45,125.29,78.57,87,100,4.54,overcast clouds,0.0,0
183,Ayan,RU,56.45,138.17,50.49,97,96,2.44,overcast clouds,0.0,0
184,Cayenne,GF,4.93,-52.33,87.8,62,100,11.41,overcast clouds,0.0,0
185,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,48,20,16.11,few clouds,0.0,0
186,Nouakchott,MR,18.09,-15.98,80.6,78,20,14.99,few clouds,0.0,0
187,Nizwa,OM,22.93,57.53,89.96,39,100,0.27,overcast clouds,0.0,0
188,Norman Wells,CA,65.28,-126.83,46.4,100,90,12.75,light rain,0.0,0
189,Ondangwa,NA,-17.92,15.95,69.8,18,17,5.82,few clouds,0.0,0
190,Aswan,EG,24.09,32.91,90.19,19,0,8.46,clear sky,0.0,0
191,Mazamari,PE,-11.33,-74.53,85.3,39,59,1.86,broken clouds,0.0,0
192,Bambous Virieux,MU,-20.34,57.76,71.01,77,75,20.8,shower rain,0.0,0
193,Sobinka,RU,55.99,40.01,55.99,76,4,4.94,clear sky,0.0,0
194,Talnakh,RU,69.49,88.4,53.6,81,0,15.66,clear sky,0.0,0
195,Severo-Yeniseyskiy,RU,60.37,93.04,47.71,100,100,2.77,moderate rain,2.28,0
196,Lincoln,US,40.8,-96.67,91.0,48,1,9.17,clear sky,0.0,0
197,Peniche,PT,39.36,-9.38,69.01,82,0,10.0,clear sky,0.0,0
198,Nantucket,US,41.28,-70.1,73.0,83,75,12.75,broken clouds,0.0,0
199,Goderich,CA,43.75,-81.72,80.01,82,100,0.56,moderate rain,1.5,0
200,Bay Roberts,CA,47.6,-53.26,59.0,69,100,3.83,overcast clouds,0.0,0
201,Pecos,US,31.42,-103.49,104.0,17,1,8.05,clear sky,0.0,0
202,Saquena,PE,-4.67,-73.52,83.53,75,33,3.18,light rain,0.69,0
203,Gweta,BW,-20.18,25.23,67.86,32,0,6.6,clear sky,0.0,0
204,Katsuura,JP,35.13,140.3,80.01,93,100,5.99,overcast clouds,0.0,0
205,Vanimo,PG,-2.67,141.3,79.3,77,100,4.74,light rain,0.31,0
206,San Vicente,AR,-26.62,-54.13,64.08,67,0,4.07,clear sky,0.0,0
207,Jizan,SA,17.33,42.67,91.4,66,20,6.93,few clouds,0.0,0
208,Hasaki,JP,35.73,140.83,80.6,83,75,14.99,broken clouds,0.0,0
209,Kasugai,JP,35.25,136.97,78.01,88,100,10.16,light rain,0.79,0
210,Tuktoyaktuk,CA,69.45,-133.04,41.0,93,90,13.87,overcast clouds,0.0,0
211,Kribi,CM,2.95,9.92,75.85,91,100,10.94,moderate rain,3.5,0
212,Irtyshskiy,RU,58.33,68.13,62.65,61,0,3.62,clear sky,0.0,0
213,Dhaka,BD,23.71,90.41,86.0,70,75,11.41,haze,0.0,0
214,Kavieng,PG,-2.57,150.8,82.24,79,95,12.15,overcast clouds,0.0,0
215,Salalah,OM,17.02,54.09,82.4,94,90,8.05,overcast clouds,0.0,0
216,Sainte-Marie,RE,-20.9,55.55,66.2,77,75,18.34,broken clouds,0.0,0
217,Hilo,US,19.73,-155.09,78.8,74,90,6.93,overcast clouds,0.0,0
218,Kirksville,US,40.19,-92.58,89.6,46,1,9.17,clear sky,0.0,0
219,Nepa Nagar,IN,21.47,76.4,81.09,79,100,7.54,overcast clouds,0.0,0
220,Kirakira,SB,-10.45,161.92,78.66,83,100,11.54,overcast clouds,0.0,0
221,Madisonville,US,37.33,-87.5,87.01,48,40,9.17,scattered clouds,0.0,0
222,Esperance,AU,-33.87,121.9,46.4,100,90,1.12,overcast clouds,0.0,0
223,Yellowknife,CA,62.46,-114.35,64.4,59,75,10.29,shower rain,0.0,0
224,Tiznit,MA,29.58,-9.5,78.85,39,0,1.54,clear sky,0.0,0
225,Igarka,RU,67.47,86.58,56.23,72,65,4.56,broken clouds,0.0,0
226,Smiths Falls,CA,44.9,-76.02,97.0,47,24,5.99,few clouds,0.0,0
227,Geraldton,AU,-28.77,114.6,53.6,50,0,18.34,clear sky,0.0,0
228,Skibbereen,IE,51.55,-9.27,59.0,54,20,13.87,few clouds,0.0,0
229,Bamberg,DE,49.88,10.89,66.99,33,62,3.8,broken clouds,0.0,0
230,Plettenberg Bay,ZA,-34.05,23.37,57.43,69,100,4.07,overcast clouds,0.0,0
231,Jalu,LY,29.03,21.55,85.1,31,0,16.08,clear sky,0.0,0
232,Placido De Castro,BR,-10.34,-67.19,88.93,45,0,1.12,clear sky,0.0,0
233,Chuy,UY,-33.7,-53.46,54.21,80,100,8.05,overcast clouds,0.0,0
234,East London,ZA,-33.02,27.91,70.23,49,97,14.12,overcast clouds,0.0,0
235,Isangel,VU,-19.55,169.27,69.8,88,75,6.93,broken clouds,0.0,0
236,Doha,QA,25.29,51.53,99.0,75,0,4.7,clear sky,0.0,0
237,Broken Hill,AU,-31.95,141.43,44.6,81,40,4.7,scattered clouds,0.0,0
238,Nome,US,64.5,-165.41,66.99,45,1,8.05,clear sky,0.0,0
239,Nong Bua,TH,15.86,100.59,79.95,83,100,5.3,overcast clouds,0.0,0
240,Laguna,US,38.42,-121.42,98.01,27,1,3.36,clear sky,0.0,0
241,Samarai,PG,-10.62,150.67,77.81,88,95,17.31,moderate rain,1.6,0
242,Port Macquarie,AU,-31.43,152.92,53.01,98,100,5.59,overcast clouds,0.0,0
243,Morant Bay,JM,17.88,-76.41,89.01,70,20,23.04,few clouds,0.0,0
244,Half Moon Bay,US,37.46,-122.43,78.01,64,75,3.36,broken clouds,0.0,0
245,Port Lincoln,AU,-34.73,135.87,49.86,74,2,13.38,clear sky,0.0,0
246,College,US,64.86,-147.8,62.6,45,40,6.93,scattered clouds,0.0,0
247,Nioki,CD,-2.72,17.68,79.59,64,99,3.51,overcast clouds,0.0,0
248,Canberra,AU,-35.28,149.13,37.99,100,100,4.0,moderate rain,2.12,0
249,Brainerd,US,46.36,-94.2,84.2,42,20,12.75,few clouds,0.0,0
250,Carutapera,BR,-1.2,-46.02,82.35,72,6,8.68,clear sky,0.0,0
251,Upernavik,GL,72.79,-56.15,40.71,85,15,22.32,few clouds,0.0,0
252,Grigoropolisskaya,RU,45.3,41.06,66.09,61,0,4.68,clear sky,0.0,0
253,Inhambane,MZ,-23.86,35.38,71.6,78,0,14.99,clear sky,0.0,0
254,Yulara,AU,-25.24,130.99,50.0,61,22,9.17,few clouds,0.0,0
255,Vostok,RU,46.49,135.88,50.4,99,0,2.86,clear sky,0.0,0
256,Andilamena,MG,-17.02,48.58,55.83,93,35,10.76,scattered clouds,0.0,0
257,Zhuanghe,CN,39.7,122.99,70.0,83,16,4.32,few clouds,0.0,0
258,Ajdabiya,LY,30.76,20.23,75.2,58,0,14.7,clear sky,0.0,0
259,Yumen,CN,40.28,97.2,74.89,24,100,10.45,overcast clouds,0.0,0
260,Parintins,BR,-2.63,-56.74,89.44,54,17,4.18,few clouds,0.0,0
261,Great Yarmouth,GB,52.61,1.73,57.0,97,0,4.59,clear sky,0.0,0
262,Saint-Pierre,RE,-21.34,55.48,69.8,64,2,19.46,clear sky,0.0,0
263,Watsa,CD,3.04,29.54,64.38,98,94,1.61,light rain,0.39,0
264,Juneau,US,58.3,-134.42,57.2,82,90,9.17,light rain,0.0,0
265,Polovinnoye,RU,54.79,65.99,69.75,89,0,2.93,light rain,0.25,0
266,Nouadhibou,MR,20.93,-17.03,71.6,78,0,21.92,sand,0.0,0
267,Tasiilaq,GL,65.61,-37.64,44.6,70,40,6.93,scattered clouds,0.0,0
268,Cidreira,BR,-30.18,-50.21,59.54,79,0,13.8,clear sky,0.0,0
269,Buraydah,SA,26.33,43.98,95.0,23,32,2.24,scattered clouds,0.0,0
270,Saint Anthony,US,45.02,-93.22,84.99,45,1,10.29,clear sky,0.0,0
271,Port Keats,AU,-14.25,129.55,69.87,66,28,7.99,scattered clouds,0.0,0
272,Westport,US,41.14,-73.36,73.99,94,90,20.8,light rain,0.38,0
273,Wencheng,CN,33.06,113.8,75.38,87,100,5.93,overcast clouds,0.0,0
274,Krasnoarmeyskoye,RU,52.72,50.03,71.91,78,100,9.01,overcast clouds,0.0,0
275,Sur,OM,22.57,59.53,91.06,52,84,15.01,broken clouds,0.0,0
276,Synya,RU,65.37,58.04,66.76,94,64,6.13,moderate rain,2.15,0
277,Jawhar,SO,2.78,45.5,76.93,79,100,15.35,overcast clouds,0.0,0
278,Pemberton,CA,50.32,-122.8,62.6,59,90,4.7,overcast clouds,0.0,0
279,Lompoc,US,34.64,-120.46,75.0,64,0,14.99,clear sky,0.0,0
280,Narsaq,GL,60.92,-46.05,48.2,93,75,5.82,light intensity drizzle,0.0,0
281,Cockburn Town,TC,21.46,-71.14,86.0,66,75,12.75,broken clouds,0.0,0
282,Tenango,MX,18.65,-98.18,82.99,27,20,4.7,few clouds,0.0,0
283,Jumla,NP,29.27,82.18,61.34,70,97,0.47,overcast clouds,0.0,0
284,Batticaloa,LK,7.71,81.69,79.79,83,100,7.4,overcast clouds,0.0,0
285,Sheopur,IN,25.67,76.7,87.48,63,100,14.03,overcast clouds,0.0,0
286,Karratha,AU,-20.74,116.85,65.16,33,0,15.61,clear sky,0.0,0
287,Chitral,PK,35.85,71.79,74.68,26,0,6.67,clear sky,0.0,0
288,Atar,MR,20.52,-13.05,99.61,17,0,10.33,clear sky,0.0,0
289,Ixtapa,MX,20.7,-105.2,89.01,66,40,10.29,scattered clouds,0.0,0
290,Harrison,US,30.41,-89.04,86.0,88,90,3.36,heavy intensity rain,4.32,0
291,Yuanping,CN,38.72,112.76,63.93,92,100,1.32,overcast clouds,0.0,0
292,New Norfolk,AU,-42.78,147.06,39.0,91,100,2.53,overcast clouds,0.0,0
293,Sao Francisco,BR,-15.95,-44.86,82.31,27,1,4.61,clear sky,0.0,0
294,Senador Jose Porfirio,BR,-2.59,-51.95,85.44,65,100,1.21,overcast clouds,0.0,0
295,Mangit,UZ,40.6,70.96,78.8,31,75,11.41,broken clouds,0.0,0
296,Tori,EE,58.48,24.82,55.99,97,58,3.91,broken clouds,0.0,0
297,Westerland,DE,54.91,8.3,55.4,66,0,20.8,clear sky,0.0,0
298,Maracas,BR,-13.44,-40.43,68.04,74,100,8.52,overcast clouds,0.0,0
299,Mangrol,IN,21.12,70.12,84.04,83,94,18.79,light rain,0.12,0
300,Bairiki,KI,1.33,172.98,82.4,78,40,8.05,scattered clouds,0.0,0
301,Gravdal,NO,68.12,13.5,53.6,81,40,8.05,scattered clouds,0.0,0
